driver_id,driver_db_id,cycleRule,timezone,splitShiftActive,driveSeconds,onDutySeconds,cycleSeconds,remainingDriveMinutes,remainingShiftMinutes,breakRemainingMinutes,violation active,last7Days violation,violation patterns,last7Days pti_violations,pti_violation patterns,speed,latitude,longitude,Address,dataDate
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,105539,32865,0,0,0,[0],0,[],0,[],-121.74762624412544,38.683128960816234,-121.74762624412544,"Woodland, CA",2025-12-01 13:46:46.756
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,191938,0,0,0,0,[0],0,[],0,[],-121.74762624412544,38.683128960816234,-121.74762624412544,"Woodland, CA",2025-12-02 15:03:44.307
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,32865,19140,32865,749,929,0,[0],0,[],1,['2'],-121.74762624412544,38.683128960816234,-121.74762624412544,"Woodland, CA",2025-12-02 17:15:19.447
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,1875013,0,0,0,0,[0],0,[],0,[],-121.74762624412544,38.683128960816234,-121.74762624412544,"Woodland, CA",2025-12-02 17:15:20.413
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,1788614,0,0,0,0,[0],0,[],0,[],-121.74762624412544,38.683128960816234,-121.74762624412544,"Woodland, CA",2025-12-02 17:15:21.398
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,451135,0,0,0,0,[0],0,[],0,[],-121.74762624412544,38.683128960816234,-121.74762624412544,"Woodland, CA",2025-12-05 22:08:39.354
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,364736,0,0,0,0,[0],0,[],0,[],-121.74762624412544,38.683128960816234,-121.74762624412544,"Woodland, CA",2025-12-05 22:08:41.362
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,278337,0,0,0,0,[0],0,[],0,[],-121.74762624412544,38.683128960816234,-121.74762624412544,"Woodland, CA",2025-12-05 22:08:47.684
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,21808,961,21808,363,402,363,[0],0,[],3,['1'],-121.74884628499147,38.68324012390383,-121.74884628499147,"0.88 mi SE Hebron (historical), CA",2025-12-16 20:20:30.021
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,145316,0,0,0,0,[0],0,[],0,[],-121.74884628499147,38.68324012390383,-121.74884628499147,"0.88 mi SE Hebron (historical), CA",2025-12-16 20:21:14.762
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,58917,9577,0,0,0,[0],0,[],2,['2'],-121.74681,38.682971,-121.74681,"1.18 mi ESE Hebron (historical), CA",2025-12-16 20:25:20.904
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,57378,25693,0,0,0,[0],0,[],2,"['', '1']",-122.260566,40.251754,-122.260566,"1.71 mi W Blunt, CA",2025-12-17 09:56:12.592
